route,irn_id
5,105100
5,105177
5,105206
5,105214
5,105215
5,105218
5,105230
5,105231
5,105252
5,105253
5,106826
5,106829
5,106830
5,106831
5,106832
5,106833
5,106837
5,106841
5,106969
5,107067
5,107093
5,107146
5,107157
5,108934
5,109125
5,111895
5,111896
5,111976
5,112143
5,112145
5,112149
5,112222
5,112223
5,112224
5,112225
5,112226
5,112227
5,112228
5,112229
5,112230
5,120570
5,163662
5,163665
5,163667
5,163672
5,165095
5,260733
5,260734
7,7383
7,7406
7,7410
7,7507
7,7678
7,7708
7,7983
7,8010
7,8020
7,8028
7,8335
7,8468
7,8473
7,8668
7,8678
7,9024
7,9032
7,9368
7,9643
7,9673
7,9790
7,101748
7,101937
7,102155
7,102162
7,102876
7,102889
7,103050
7,103252
7,103447
7,103537
7,103674
7,103696
7,103772
7,103793
7,103822
7,103847
7,103858
7,103880
7,103923
7,103925
7,103927
7,103931
7,103946
7,103947
7,103948
7,103949
7,103969
7,104009
7,104035
7,106653
7,106670
7,106674
7,106856
7,106857
7,106858
7,106859
7,106860
7,107128
7,107130
7,107131
7,107138
7,107139
7,107140
7,107141
7,107142
7,107143
7,107144
7,107145
7,107147
7,107767
7,107782
7,107786
7,107788
7,107789
7,107790
7,107792
7,108009
7,108010
7,108012
7,108013
7,108073
7,108074
7,108075
7,108948
7,109830
7,109831
7,112025
7,112028
7,112082
7,112088
7,112089
7,112090
7,164624
7,164625
7,164626
7,164628
7,164662
7,260171
7,260175
7,260699
7,260835
7,260839
7,260859
7,260862
7,260863
7,260864
7,260867
8,7499
8,7513
8,7797
8,7800
8,7905
8,7927
8,7934
8,7938
8,7944
8,8111
8,8141
8,8174
8,8237
8,8240
8,8341
8,8466
8,8475
8,8537
8,8594
8,8635
8,8770
8,8775
8,8797
8,8798
8,8903
8,8945
8,9053
8,9117
8,9143
8,9149
8,9183
8,9194
8,9223
8,9251
8,9255
8,9258
8,9259
8,9274
8,9289
8,9292
8,9475
8,9496
8,9567
8,9738
8,9800
8,9805
8,9882
8,9903
8,9908
8,9933
8,57387
8,92944
8,93471
8,97212
8,97214
8,109143
8,112019
8,112020
8,112021
8,112022
8,112024
8,112026
8,112029
8,112030
8,112053
8,112054
8,112055
8,112056
8,112057
8,112059
8,112061
8,112068
8,112069
8,112070
8,112081
8,112104
8,112105
8,112108
8,112110
8,112111
8,112112
8,112207
8,112211
8,112212
8,112214
8,112216
8,112217
8,125034
8,125038
8,130478
8,139114
8,139115
8,139119
8,140075
8,140080
8,140082
8,140716
8,143010
8,145834
8,145835
8,145836
8,148411
8,148413
8,148414
8,148415
8,148416
8,148417
8,148418
8,148419
8,148421
8,148422
8,148423
8,148427
8,164139
8,164140
8,164202
8,164203
8,164204
8,164205
8,164278
8,164279
8,164776
8,261289
8,261292
8,261293
8,261763
8,261765
8,261773
8,261774
9,96919
9,56775
9,56779
9,56780
9,56782
9,56941
9,56944
9,56980
9,57058
9,57101
9,57104
9,57120
9,57122
9,57147
9,57382
9,57411
9,57412
9,57440
9,57470
9,57471
9,57554
9,57636
9,57723
9,57724
9,58013
9,58039
9,58041
9,58042
9,58117
9,58265
9,58271
9,58272
9,58314
9,58347
9,58461
9,58490
9,58541
9,58741
9,58776
9,58870
9,58894
9,58895
9,59017
9,59194
9,59240
9,59242
9,59268
9,59303
9,59333
9,59408
9,59434
9,59435
9,59479
9,59654
9,59659
9,59714
9,59715
9,59848
9,59849
9,59850
9,59870
9,59911
9,59916
9,60107
9,60108
9,60144
9,60240
9,60286
9,60308
9,60309
9,60310
9,60340
9,60432
9,60458
9,60489
9,60639
9,60732
9,60783
9,60784
9,60791
9,60884
9,60924
9,60930
9,61107
9,61108
9,61109
9,61270
9,61351
9,61382
9,61462
9,61565
9,61734
9,61760
9,61826
9,61875
9,61997
9,62090
9,62229
9,62355
9,62404
9,62420
9,62481
9,62499
9,62698
9,62770
9,62779
9,62793
9,62848
9,62993
9,63016
9,63017
9,93086
9,93112
9,93551
9,93803
9,93804
9,93856
9,93857
9,93863
9,94180
9,94636
9,94706
9,95293
9,95307
9,95309
9,95329
9,95349
9,95356
9,95972
9,95974
9,95976
9,95977
9,95980
9,95981
9,95982
9,95983
9,95984
9,95985
9,95986
9,95987
9,95988
9,96003
9,96004
9,96260
9,96263
9,96445
9,96557
9,96559
9,96562
9,96582
9,96606
9,96612
9,96619
9,96623
9,96625
9,96626
9,96632
9,96634
9,96656
9,96657
9,96721
9,96729
9,96746
9,96747
9,96748
9,96752
9,96753
9,96754
9,96755
9,96756
9,96757
9,96763
9,96764
9,96765
9,96766
9,96781
9,96782
9,96785
9,96816
9,96879
9,96880
9,96891
9,96912
9,96917
9,96936
9,96948
9,96957
9,96965
9,96967
9,96978
9,96995
9,97003
9,97031
9,97045
9,97097
9,97098
9,97116
9,97118
9,97119
9,97132
9,97133
9,97134
9,97135
9,97210
9,97211
9,97224
9,97252
9,97255
9,97256
9,97260
9,97262
9,97304
9,98048
9,98049
9,98052
9,109126
9,110531
9,111732
9,111733
9,111746
9,111748
9,111862
9,111863
9,111898
9,111900
9,111902
9,111904
9,111905
9,112209
9,145854
9,163838
9,260220
9,260221
9,260732
9,260852
9,261303
9,261306
9,263013
9,263014
9,263015
9,263016
9,263017
9,263122
9,263124
9,263212
9,263262
9,263304
9,263442
9,263443
9,263864
9,263882
9,263962
9,264002
9,264005
9,264083
9,264122
9,264123
9,270843
9,270844
"ARGYLE STREET",273283
"ARGYLE STREET",102357
"ARGYLE STREET",102359
"ARGYLE STREET",107355
"ARGYLE STREET",107373
"ARGYLE STREET",107422
"ARGYLE STREET",107423
"ARGYLE STREET",107946
"ARGYLE STREET",108086
"ARGYLE STREET",110411
"ARGYLE STREET",271243
"AUSTIN ROAD WEST",260887
"AUSTIN ROAD WEST",260890
"AUSTIN ROAD WEST",260891
"CANAL ROAD FLYOVER",2598
"CANAL ROAD FLYOVER",111647
"CANTON ROAD",105418
"CANTON ROAD",164124
"CANTON ROAD",266603
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94179
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94606
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94669
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94670
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94671
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94676
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94692
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94840
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94841
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94842
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94875
"CASTLE PEAK ROAD - CASTLE PEAK BAY",94883
"CASTLE PEAK ROAD - CASTLE PEAK BAY",96078
"CASTLE PEAK ROAD - CASTLE PEAK BAY",96079
"CASTLE PEAK ROAD - CASTLE PEAK BAY",96962
"CASTLE PEAK ROAD - CASTLE PEAK BAY",99636
"CASTLE PEAK ROAD - CASTLE PEAK BAY",163793
"CASTLE PEAK ROAD - CASTLE PEAK BAY",163794
